FIPS,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
10001,610432,NTN021,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,1/28/2021,10:36:00,,,,0,S ,HVIC,S1,CHLA,,2.0336,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,610433,NTN021,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,2/2/2021,10:15:00,,,,0,S ,HVIC,S1,CHLA,,3.7036,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,610434,NTN021,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,2/24/2021,9:17:00,,,,0,S ,HVIC,S1,CHLA,,1.971,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,610435,NTN021,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,3/10/2021,9:03:00,,,,0,S ,HVIC,S1,CHLA,,0.9905,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,610436,NTN021,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,4/20/2021,8:41:00,,,,0,S ,HVIC,S1,CHLA,,12.3134,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,610437,NTN021,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,5/24/2021,8:29:00,,,,0,S ,HVIC,S1,CHLA,,1.5218,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,610438,NTN021,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,6/15/2021,9:44:00,,,,0,S ,HVIC,S1,CHLA,,1.7169,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,610439,NTN021,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,7/19/2021,8:24:00,,,,0,S ,HVIC,S1,CHLA,,17.6588,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,610440,NTN021,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,8/25/2021,8:02:00,,,,0,S ,HVIC,S1,CHLA,,1.9688,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,610441,NTN021,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,9/2/2021,8:04:00,,,,0,S ,HVIC,S1,CHLA,,8.2509,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,610442,NTN021,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,9/22/2021,9:14:00,,,,0,S ,HVIC,FS1,CHLA,,1.5396,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,610442,NTN021,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,9/22/2021,9:14:00,,,,0,S ,HVIC,FS2,CHLA,,6.4483,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,621707,NTN022,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,10/18/2021,9:37:00,,,,0,S ,HVIC,S1,CHLA,,4.2731,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,621708,NTN022,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,11/8/2021,7:25:00,,,,0,S ,HVIC,S1,CHLA,,0.7233,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,621709,NTN022,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,12/15/2021,8:44:00,,,,0,S ,HVIC,S1,CHLA,,2.609,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,621710,NTN022,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,1/26/2022,9:44:00,,,,0,S ,HVIC,S1,CHLA,,1.5729,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,621711,NTN022,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,2/23/2022,8:10:00,,,,0,S ,HVIC,S1,CHLA,,14.1708,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,621712,NTN022,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,3/21/2022,7:52:00,,,,0,S ,HVIC,FS1,CHLA,,2.0075,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,621712,NTN022,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,3/21/2022,7:52:00,,,,0,S ,HVIC,FS2,CHLA,,2.3209,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,621713,NTN022,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,4/7/2022,8:14:00,,,,0,S ,HVIC,S1,CHLA,,4.6451,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,621714,NTN022,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,4/27/2022,8:30:00,,,,0,S ,HVIC,S1,CHLA,,2.4521,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,621715,NTN022,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,5/18/2022,8:02:00,,,,0,S ,HVIC,S1,CHLA,,1.532,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
10001,621716,NTN022,NTWQM,NTN,DEDNREC  ,DEDNREC,302031,6/15/2022,8:18:00,,,,0,S ,HVIC,S1,CHLA,,5.6378,UG/L,L03 ,DEDNREC,,,,nan,38.84972,-75.67333,T3
